avg,max,med,min,q25,q75,std,xg_avg,yg_avg,zg_avg,label
0.6442086941919294,1.834937576471885,0.5648367819091127,-0.04316083090588139,0.20768565622126894,0.8250020558503621,0.546553242017052,0.052844054432120174,0.015013091186061506,0.7019056475106626,Forehand
0.4616616037167332,1.706448162436261,0.26374886813770115,-0.04316083090588139,0.07576522562016572,0.621981153931042,0.5026888277641072,-0.012377537379972632,0.023070572128985084,0.17099445152888074,Forehand
0.3226075436460721,1.706448162436261,0.02029235915082993,-0.06799734333261358,-0.019668816107442956,0.5409211639478184,0.5501723529057297,0.012260145202744748,0.009006367815658457,0.06014280889742077,Forehand
-0.06673343313375482,0.06536494145500292,-0.05826276773867118,-0.14421761522350648,-0.12102007492713478,-0.019713642526247317,0.05023560844237388,0.014024465277791023,-0.010742352937813848,0.0014670251051429584,Forehand
-0.12627531431100014,-0.042950831273077375,-0.14125215359994514,-0.1508259633505018,-0.1437709390732071,-0.12105117984597985,0.02904479043925299,-0.0058450085399672285,0.001951778608839935,0.0038465798930264823,Forehand
-0.14533169901919363,-0.13483103995753468,-0.14409494878923046,-0.1530757202039837,-0.14836228014970812,-0.1426156853553585,0.0038189860124788256,-0.0013152604880742702,0.005071271834429334,0.005991441038437164,Forehand
-0.14233680335308352,-0.09790363162682782,-0.14647548408419664,-0.16070389944829386,-0.15214941877361612,-0.14024722829094555,0.015761282362572526,-0.0005440467693842941,0.002990965792909255,0.0017380605724174462,Forehand
-0.1432895310808045,-0.09790363162682782,-0.14837737039643398,-0.16070389944829386,-0.15514380204817838,-0.13586481898047356,0.016760205886632972,-0.0012561294646002308,0.003063209078740316,0.000748993303626772,Forehand
-0.13224617976490313,-0.0563466624878301,-0.1417913202650028,-0.159759785161,-0.14989148442538067,-0.13497346470188765,0.028682588454766834,0.005052215798757974,-0.004494602089747788,0.0017876295594032778,Forehand
-0.11642854751124264,-0.0563466624878301,-0.12846788371106285,-0.14919667258985966,-0.13826271633656959,-0.09316565339199565,0.02811245629238439,0.004685193736571819,-0.00582901357999071,0.002461462334729724,Forehand
